"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"710" "Good" "About the right weight" 200
"711" "Fair" "About the right weight" 120
"712" "Very Good" "Slightly overweight" 210
"713" "Very Good" "About the right weight" 300
"714" "Good" "About the right weight" 5040
"715" "Fair" "About the right weight" 3360
"716" "Very Good" "About the right weight" 160
"717" "Very Good" "Slightly underweight" 600
"718" "Good" "About the right weight" 60
"719" "Very Good" "Slightly overweight" 60
"720" "Excellent" "About the right weight" 30
"721" "Good" "Slightly overweight" 120
"722" "Fair" "About the right weight" 60
"723" NA "About the right weight" 60
"724" "Good" "About the right weight" 100
"725" "Very Good" "Slightly overweight" 30
"726" "Very Good" "Slightly underweight" 30
"727" "Excellent" "Slightly underweight" 200
"728" "Fair" "Slightly overweight" 100
